date,load,solar,wind
2015/1/1 0:00,5964,21,146
2015/1/1 1:00,5726,32,158
2015/1/1 2:00,5347,37,187
2015/1/1 3:00,5249,35,244
2015/1/1 4:00,5309,27,299
2015/1/1 5:00,5574,14,327
2015/1/1 6:00,5925,3,346
2015/1/1 7:00,6343,0,310
2015/1/1 8:00,6882,0,205
2015/1/1 9:00,6963,0,222
2015/1/1 10:00,7110,0,251
2015/1/1 11:00,7136,0,138
2015/1/1 12:00,7013,0,92
2015/1/1 13:00,6735,0,103
2015/1/1 14:00,6543,0,106
2015/1/1 15:00,6603,0,79
2015/1/1 16:00,6735,0,126
2015/1/1 17:00,6626,0,195
2015/1/1 18:00,6738,0,225
2015/1/1 19:00,6654,0,237
2015/1/1 20:00,6255,0,211
2015/1/1 21:00,6221,0,242
2015/1/1 22:00,5864,3,302
2015/1/1 23:00,5533,15,369
2015/1/2 0:00,5205,33,413
2015/1/2 1:00,4971,50,407
2015/1/2 2:00,4669,58,424
2015/1/2 3:00,4756,55,478
2015/1/2 4:00,5080,41,520
2015/1/2 5:00,5422,20,578
2015/1/2 6:00,5856,4,553
2015/1/2 7:00,6366,0,1048
2015/1/2 8:00,6431,0,1498
2015/1/2 9:00,6699,0,1615
2015/1/2 10:00,6543,0,1702
2015/1/2 11:00,6310,0,1637
2015/1/2 12:00,6257,0,1512
2015/1/2 13:00,6307,0,1407
2015/1/2 14:00,6502,0,1373
2015/1/2 15:00,6889,0,1350
2015/1/2 16:00,5972,0,1304
2015/1/2 17:00,5892,0,1241
2015/1/2 18:00,5807,0,1146
2015/1/2 19:00,5313,0,1423
2015/1/2 20:00,5379,0,1366
2015/1/2 21:00,5325,1,1323
2015/1/2 22:00,5145,5,1296
2015/1/2 23:00,5827,20,1059
2015/1/3 0:00,5779,41,903
2015/1/3 1:00,5467,58,718
2015/1/3 2:00,5201,65,503
2015/1/3 3:00,5244,59,293
2015/1/3 4:00,5405,43,279
2015/1/3 5:00,5402,23,356
2015/1/3 6:00,5553,6,346
2015/1/3 7:00,5476,0,301
2015/1/3 8:00,5612,0,114
2015/1/3 9:00,5660,0,83
2015/1/3 10:00,5663,0,69
2015/1/3 11:00,5305,0,67
2015/1/3 12:00,4932,0,54
2015/1/3 13:00,4706,0,61
2015/1/3 14:00,4833,0,57
2015/1/3 15:00,5124,0,143
2015/1/3 16:00,6064,0,569
2015/1/3 17:00,5937,0,1081
2015/1/3 18:00,5767,0,1424
2015/1/3 19:00,5697,0,1639
2015/1/3 20:00,5329,0,1672
2015/1/3 21:00,5570,0,1667
2015/1/3 22:00,5452,3,1732
2015/1/3 23:00,5513,14,1849
2015/1/4 0:00,5234,28,1921
2015/1/4 1:00,5106,40,1945
2015/1/4 2:00,4804,46,1914
2015/1/4 3:00,4797,42,1910
2015/1/4 4:00,4868,31,1886
2015/1/4 5:00,5035,16,1839
2015/1/4 6:00,5385,4,1825
2015/1/4 7:00,5513,0,1813
2015/1/4 8:00,5567,0,1802
2015/1/4 9:00,5618,0,1777
2015/1/4 10:00,5621,0,1674
2015/1/4 11:00,5540,0,1561
2015/1/4 12:00,5454,0,1406
2015/1/4 13:00,5162,0,1421
2015/1/4 14:00,5044,0,1473
2015/1/4 15:00,5292,0,1566
2015/1/4 16:00,4946,0,1575
2015/1/4 17:00,4833,0,1549
2015/1/4 18:00,5035,0,1460
2015/1/4 19:00,5067,0,1370
2015/1/4 20:00,4753,0,1301
2015/1/4 21:00,5092,0,1235
2015/1/4 22:00,5177,4,1148
2015/1/4 23:00,6180,18,1363
2015/1/5 0:00,6005,36,1421
2015/1/5 1:00,5987,49,1651
2015/1/5 2:00,5758,56,1580
2015/1/5 3:00,5692,52,1599
2015/1/5 3:59,5979,38,1846
2015/1/5 4:59,6252,19,1832
2015/1/5 5:59,6770,4,1788
2015/1/5 6:59,6833,0,1813
2015/1/5 7:59,7129,0,1785
2015/1/5 8:59,7428,0,1705
2015/1/5 9:59,7268,0,1499
2015/1/5 10:59,7290,0,1338
2015/1/5 11:59,7423,0,1263
2015/1/5 12:59,7260,0,1164
2015/1/5 13:59,7390,0,1112
2015/1/5 14:59,7248,0,960
2015/1/5 15:59,7791,0,866
2015/1/5 16:59,7560,0,791
2015/1/5 17:59,7351,0,741
2015/1/5 18:59,7251,0,716
2015/1/5 19:59,6582,0,589
2015/1/5 20:59,6429,0,642
2015/1/5 21:59,6182,4,614
2015/1/5 22:59,5523,17,441
2015/1/5 23:59,5220,36,321
2015/1/6 0:59,5015,53,398
2015/1/6 1:59,4868,62,485
2015/1/6 2:59,4974,59,551
2015/1/6 3:59,4926,45,527
2015/1/6 4:59,4742,24,470
2015/1/6 5:59,5437,7,422
2015/1/6 6:59,5821,0,319
2015/1/6 7:59,6248,0,383
2015/1/6 8:59,6608,0,268
2015/1/6 9:59,6946,0,152
2015/1/6 10:59,6642,0,93
2015/1/6 11:59,6204,0,60
2015/1/6 12:59,5994,0,94
2015/1/6 13:59,6010,0,178
2015/1/6 14:59,6565,0,189
2015/1/6 15:59,7218,0,271
2015/1/6 16:59,7112,0,304
2015/1/6 17:59,6675,0,459
2015/1/6 18:59,6040,0,532
2015/1/6 19:59,5732,0,627
2015/1/6 20:59,6084,0,762
2015/1/6 21:59,5728,3,755
2015/1/6 22:59,5973,15,767
2015/1/6 23:59,5568,34,782
2015/1/7 0:59,5642,49,760
2015/1/7 1:59,5547,57,594
2015/1/7 2:59,5846,53,443
2015/1/7 3:59,6134,40,370
2015/1/7 4:59,6658,22,329
2015/1/7 5:59,7557,6,293
2015/1/7 6:59,7301,0,283
2015/1/7 7:59,7589,0,210
2015/1/7 8:59,8031,0,184
2015/1/7 9:59,8168,0,148
2015/1/7 10:59,8316,0,137
2015/1/7 11:59,8395,0,113
2015/1/7 12:59,8556,0,121
2015/1/7 13:59,8250,0,140
2015/1/7 14:59,7679,0,166
2015/1/7 15:59,8570,0,175
2015/1/7 16:59,8500,0,191
2015/1/7 17:59,8064,0,173
2015/1/7 18:59,7256,0,186
2015/1/7 19:59,6923,0,188
2015/1/7 20:59,6833,0,152
2015/1/7 21:59,6600,3,147
2015/1/7 22:59,6651,17,199
2015/1/7 23:59,6357,36,268
2015/1/8 0:59,6360,52,334
2015/1/8 1:59,6417,62,373
2015/1/8 2:59,6302,62,388
2015/1/8 3:59,6601,50,421
2015/1/8 4:59,7193,29,494
2015/1/8 5:59,7686,10,545
2015/1/8 6:59,8061,2,582
2015/1/8 7:59,8289,0,582
2015/1/8 8:59,7662,0,561
2015/1/8 9:59,7548,0,623
2015/1/8 10:59,7753,0,570
2015/1/8 11:59,7959,0,623
2015/1/8 12:59,8037,0,618
2015/1/8 13:59,7986,0,526
2015/1/8 14:59,8117,0,510
2015/1/8 15:59,8256,0,565
2015/1/8 16:59,8340,0,1128
2015/1/8 17:59,8259,0,1548
2015/1/8 18:59,7917,0,1151
2015/1/8 19:59,7268,0,719
2015/1/8 20:59,7185,0,608
2015/1/8 21:59,7322,8,946
2015/1/8 22:59,6851,33,1015
2015/1/8 23:59,6560,66,631
2015/1/9 0:59,6468,94,659
2015/1/9 1:59,6526,105,661
2015/1/9 2:59,6398,92,822
2015/1/9 3:59,6978,67,998
2015/1/9 4:59,7006,37,1395
2015/1/9 5:59,6886,11,1422
2015/1/9 6:59,6947,1,1569
2015/1/9 7:59,6750,0,1697
2015/1/9 8:59,6491,0,1788
2015/1/9 9:59,6067,0,1955
2015/1/9 10:59,5986,0,1965
2015/1/9 11:59,6146,0,1949
2015/1/9 12:59,6583,0,1866
2015/1/9 13:59,6228,0,1675
2015/1/9 14:59,6776,0,1337
2015/1/9 15:59,6768,0,1003
2015/1/9 16:59,6714,0,834
2015/1/9 17:59,6382,0,595
2015/1/9 18:59,5702,0,609
2015/1/9 19:59,5410,0,821
2015/1/9 20:59,5596,1,1408
2015/1/9 21:59,5627,9,1712
2015/1/9 22:59,5731,36,1894
2015/1/9 23:59,5658,73,1950
2015/1/10 0:59,4936,104,1873
2015/1/10 1:59,5118,117,1708
2015/1/10 2:59,5352,118,1809
2015/1/10 3:59,5493,97,1859
2015/1/10 4:59,5650,55,1707
2015/1/10 5:59,6385,16,1693
2015/1/10 6:59,6803,1,1775
2015/1/10 7:59,6964,0,1703
2015/1/10 8:59,6717,0,1785
2015/1/10 9:59,6530,0,1803
2015/1/10 10:59,6348,0,1681
2015/1/10 11:59,5962,0,1812
2015/1/10 12:59,5782,0,1873
2015/1/10 13:59,5737,0,1858
2015/1/10 14:59,5600,0,1787
2015/1/10 15:59,5831,0,1306
2015/1/10 16:59,5776,0,903
2015/1/10 17:59,5800,0,771
2015/1/10 18:59,5172,0,575
2015/1/10 19:59,4819,0,849
2015/1/10 20:59,4645,0,1241
2015/1/10 21:59,5453,6,1219
2015/1/10 22:59,5400,21,1534
2015/1/10 23:59,5087,42,1553
2015/1/11 0:59,4926,60,1498
2015/1/11 1:59,4802,67,1803
2015/1/11 2:59,4790,67,1860
2015/1/11 3:59,4952,56,1808
2015/1/11 4:59,5213,31,1798
2015/1/11 5:59,5369,7,1770
2015/1/11 6:59,5763,0,1648
2015/1/11 7:59,5593,0,1552
2015/1/11 8:59,5984,0,1384
2015/1/11 9:59,6279,0,1572
2015/1/11 10:59,6274,0,1688
2015/1/11 11:59,6368,0,1516
2015/1/11 12:59,6093,0,1691
2015/1/11 13:59,5993,0,1555
2015/1/11 14:59,6008,0,1585
