date,load,solar,wind
2012/4/2 0:00,4356,0,460
2012/4/2 1:00,4317,0,459
2012/4/2 2:00,4315,0,453
2012/4/2 3:00,4350,0,432
2012/4/2 4:00,4444,0,414
2012/4/2 5:00,4682,1,398
2012/4/2 6:00,5118,61,396
2012/4/2 7:00,5513,212,369
2012/4/2 8:00,5653,342,313
2012/4/2 9:00,5704,419,255
2012/4/2 10:00,5612,406,184
2012/4/2 11:00,5461,353,159
2012/4/2 12:00,5350,285,147
2012/4/2 13:00,5328,141,134
2012/4/2 14:00,5520,21,139
2012/4/2 15:00,5995,0,146
2012/4/2 16:00,6217,0,142
2012/4/2 17:00,6099,0,195
2012/4/2 18:00,5905,0,238
2012/4/2 19:00,5662,0,238
2012/4/2 20:00,5575,0,204
2012/4/2 21:00,5356,0,304
2012/4/2 22:00,4910,0,318
2012/4/2 23:00,4573,0,333
2012/4/3 0:00,4388,0,310
2012/4/3 1:00,4307,0,328
2012/4/3 2:00,4251,0,315
2012/4/3 3:00,4257,0,347
2012/4/3 4:00,4332,0,305
2012/4/3 5:00,4541,1,215
2012/4/3 6:00,4988,16,187
2012/4/3 7:00,5295,92,355
2012/4/3 8:00,5388,259,302
2012/4/3 9:00,5357,411,170
2012/4/3 10:00,5269,498,147
2012/4/3 11:00,5106,458,152
2012/4/3 12:00,5026,359,182
2012/4/3 13:00,5045,198,247
2012/4/3 14:00,5249,31,274
2012/4/3 15:00,5789,0,238
2012/4/3 16:00,5972,0,237
2012/4/3 17:00,5916,0,227
2012/4/3 18:00,5650,0,215
2012/4/3 19:00,5433,0,186
2012/4/3 20:00,5374,0,174
2012/4/3 21:00,5112,0,145
2012/4/3 22:00,4772,0,152
2012/4/3 23:00,4452,0,173
2012/4/4 0:00,4286,0,185
2012/4/4 1:00,4220,0,172
2012/4/4 2:00,4176,0,234
2012/4/4 3:00,4190,0,257
2012/4/4 4:00,4281,0,291
2012/4/4 5:00,4419,0,190
2012/4/4 6:00,4866,19,164
2012/4/4 7:00,5225,83,133
2012/4/4 8:00,5493,96,99
2012/4/4 9:00,5643,93,87
2012/4/4 10:00,5696,88,101
2012/4/4 11:00,5616,110,170
2012/4/4 12:00,5533,93,204
2012/4/4 13:00,5574,47,269
2012/4/4 14:00,5744,10,281
2012/4/4 15:00,6236,0,327
2012/4/4 16:00,6404,0,396
2012/4/4 17:00,6283,0,372
2012/4/4 18:00,6013,0,342
2012/4/4 19:00,5718,0,387
2012/4/4 20:00,5496,0,269
2012/4/4 21:00,5228,0,238
2012/4/4 22:00,4730,0,237
2012/4/4 23:00,4494,0,306
2012/4/5 0:00,4337,0,346
2012/4/5 1:00,4228,0,311
2012/4/5 2:00,4282,0,248
2012/4/5 3:00,4456,0,208
2012/4/5 4:00,4992,0,284
2012/4/5 5:00,5535,0,314
2012/4/5 6:00,5932,50,297
2012/4/5 7:00,6137,232,218
2012/4/5 8:00,6063,452,187
2012/4/5 9:00,6039,579,241
2012/4/5 10:00,5885,597,214
2012/4/5 11:00,5843,535,205
2012/4/5 12:00,5833,383,237
2012/4/5 13:00,5876,178,215
2012/4/5 14:00,6008,28,227
2012/4/5 15:00,6303,0,201
2012/4/5 16:00,6576,0,196
2012/4/5 17:00,6610,0,188
2012/4/5 18:00,6329,0,164
2012/4/5 19:00,6081,0,117
2012/4/5 20:00,5935,0,130
2012/4/5 21:00,5514,0,171
2012/4/5 22:00,5038,0,178
2012/4/5 23:00,4704,0,259
2012/4/6 0:00,4532,0,360
2012/4/6 1:00,4487,0,358
2012/4/6 2:00,4519,0,340
2012/4/6 3:00,4678,0,335
2012/4/6 4:00,5190,0,380
2012/4/6 5:00,5722,0,381
2012/4/6 6:00,6106,39,382
2012/4/6 7:00,6236,172,393
2012/4/6 8:00,6189,314,409
2012/4/6 9:00,6122,412,434
2012/4/6 10:00,6012,431,458
2012/4/6 11:00,5938,381,456
2012/4/6 12:00,5933,305,500
2012/4/6 13:00,6013,183,506
2012/4/6 14:00,6132,30,508
2012/4/6 15:00,6491,0,504
2012/4/6 16:00,6758,0,495
2012/4/6 17:00,6728,0,502
2012/4/6 18:00,6491,0,499
2012/4/6 19:00,6219,0,504
2012/4/6 20:00,6093,0,501
2012/4/6 21:00,5739,0,498
2012/4/6 22:00,5252,0,496
2012/4/6 23:00,4921,0,472
2012/4/7 0:00,4806,0,480
2012/4/7 1:00,4740,0,484
2012/4/7 2:00,4781,0,469
2012/4/7 3:00,4917,0,456
2012/4/7 4:00,5417,0,471
2012/4/7 5:00,6005,1,475
2012/4/7 6:00,6341,46,473
2012/4/7 7:00,6525,200,478
2012/4/7 8:00,6464,424,482
2012/4/7 9:00,6330,537,499
2012/4/7 10:00,6163,606,498
2012/4/7 11:00,6100,590,495
2012/4/7 12:00,6027,454,484
2012/4/7 13:00,6104,234,470
2012/4/7 14:00,6298,41,449
2012/4/7 15:00,6718,0,430
2012/4/7 16:00,6992,0,378
2012/4/7 17:00,6943,0,369
2012/4/7 18:00,6667,0,358
2012/4/7 19:00,6438,0,376
2012/4/7 20:00,6255,0,367
2012/4/7 21:00,5895,0,360
2012/4/7 22:00,5443,0,305
2012/4/7 23:00,5151,0,279
2012/4/8 0:00,4987,0,239
2012/4/8 1:00,4918,0,207
2012/4/8 2:00,4964,0,207
2012/4/8 3:00,5081,0,187
2012/4/8 4:00,5570,0,178
2012/4/8 5:00,6138,1,200
2012/4/8 6:00,6483,79,165
2012/4/8 7:00,6683,287,122
2012/4/8 8:00,6619,454,109
2012/4/8 9:00,6549,551,81
2012/4/8 10:00,6393,541,69
2012/4/8 11:00,6387,512,54
2012/4/8 12:00,6252,383,42
2012/4/8 13:00,6294,205,29
2012/4/8 14:00,6409,29,23
2012/4/8 15:00,6765,0,23
2012/4/8 16:00,7100,0,12
2012/4/8 17:00,7081,0,5
2012/4/8 18:00,6835,0,4
2012/4/8 19:00,6566,0,2
2012/4/8 20:00,6377,0,11
2012/4/8 21:00,5976,0,28
2012/4/8 22:00,5474,0,50
2012/4/8 23:00,5200,0,81
2012/4/9 0:00,5032,0,90
2012/4/9 1:00,5005,0,128
2012/4/9 2:00,5034,0,159
2012/4/9 3:00,5206,0,212
2012/4/9 4:00,5674,0,247
2012/4/9 5:00,6185,1,230
2012/4/9 6:00,6571,75,254
2012/4/9 7:00,6702,278,267
2012/4/9 8:00,6614,396,257
2012/4/9 9:00,6563,388,235
2012/4/9 10:00,6433,276,236
2012/4/9 11:00,6372,225,257
2012/4/9 12:00,6284,270,273
2012/4/9 13:00,6195,157,269
2012/4/9 14:00,6264,24,225
2012/4/9 15:00,6595,0,235
2012/4/9 16:00,6841,0,274
2012/4/9 17:00,6773,0,353
2012/4/9 18:00,6431,0,342
2012/4/9 19:00,6173,0,333
2012/4/9 20:00,6005,0,289
2012/4/9 21:00,5681,0,333
2012/4/9 22:00,5192,0,278
2012/4/9 23:00,4910,0,281
2012/4/10 0:00,4716,0,291
2012/4/10 1:00,4690,0,394
2012/4/10 2:00,4622,0,441
2012/4/10 3:00,4677,0,473
2012/4/10 4:00,4819,0,501
2012/4/10 5:00,5061,0,525
2012/4/10 6:00,5496,6,533
2012/4/10 7:00,5851,36,530
2012/4/10 8:00,5978,87,524
2012/4/10 9:00,5943,174,502
2012/4/10 10:00,5763,239,456
2012/4/10 11:00,5588,211,360
2012/4/10 12:00,5469,211,313
2012/4/10 13:00,5409,110,227
2012/4/10 14:00,5583,21,182
2012/4/10 15:00,6004,0,186
2012/4/10 16:00,6235,0,212
2012/4/10 17:00,6062,0,239
2012/4/10 18:00,5762,0,261
2012/4/10 19:00,5434,0,198
2012/4/10 20:00,5381,0,167
2012/4/10 21:00,5140,0,288
2012/4/10 22:00,4768,0,359
2012/4/10 23:00,4476,0,355
2012/4/11 0:00,4328,0,383
2012/4/11 1:00,4227,0,406
2012/4/11 2:00,4186,0,389
2012/4/11 3:00,4200,0,348
2012/4/11 4:00,4342,0,339
2012/4/11 5:00,4536,1,342
2012/4/11 6:00,4913,80,340
2012/4/11 7:00,5236,301,377
2012/4/11 8:00,5245,530,333
2012/4/11 9:00,5100,649,205
2012/4/11 10:00,5017,662,211
2012/4/11 11:00,4805,620,187
2012/4/11 12:00,4663,489,126
2012/4/11 13:00,4719,240,104
2012/4/11 14:00,5023,43,242
2012/4/11 15:00,5707,0,389
2012/4/11 16:00,6105,0,458
2012/4/11 17:00,6018,0,480
2012/4/11 18:00,5709,0,487
2012/4/11 19:00,5409,0,462
2012/4/11 20:00,5222,0,439
2012/4/11 21:00,4912,0,313
2012/4/11 22:00,4539,0,334
2012/4/11 23:00,4247,0,391
2012/4/12 0:00,4088,0,436
2012/4/12 1:00,4099,0,466
2012/4/12 2:00,4122,0,435
2012/4/12 3:00,4339,0,381
2012/4/12 4:00,4840,0,286
2012/4/12 5:00,5445,0,242
2012/4/12 6:00,5939,5,206
2012/4/12 7:00,6154,36,197
